sqrtN,volume,se
8.0000000000,2.34375,0.5295094418642953
11.3137084990,2.5,0.38273277230987157
16.0000000000,2.7734375,0.2798047549854641
22.6274169980,2.6171875,0.19426446108215104
32.0000000000,2.451171875,0.13442395615909353
45.2548339959,2.5390625,0.09617637865443329
64.0000000000,2.6171875,0.06868285888736958
90.5096679919,2.67822265625,0.04892565255852486
128.0000000000,2.6312255859375,0.03440065429001648
181.0193359838,2.62298583984375,0.02430039393881432
256.0000000000,2.64862060546875,0.017236708207996776
362.0386719675,2.650146484375,0.012190438239785871
512.0000000000,2.6625823974609375,0.008632829943629095
724.0773439350,2.660694122314453,0.006102952788209242
1024.0000000000,2.657327651977539,0.004313697346842779
1448.1546878700,2.6581764221191406,0.003050555413913896
2048.0000000000,2.654247283935547,0.0021560503104292544
2896.3093757401,2.6531362533569336,0.001524353947147748
4096.0000000000,2.652018666267395,0.0010777359317505116
