sqrtN,volume,se
8.0000000000,2.5,1.2103072956898178
11.3137084990,2.1875,0.8038717041897139
16.0000000000,1.5625,0.4843592487358299
22.6274169980,1.484375,0.3341606522650697
32.0000000000,2.1875,0.2842115666182666
45.2548339959,2.48046875,0.21317221890350274
64.0000000000,2.87109375,0.16132430055902042
90.5096679919,2.7880859375,0.11253797878096454
128.0000000000,2.7880859375,0.07957636793704784
181.0193359838,2.899169921875,0.05729327932602063
256.0000000000,2.891845703125,0.04046525393515205
362.0386719675,2.9168701171875,0.02872709916706792
512.0000000000,2.899322509765625,0.02025672455972906
724.0773439350,2.8931427001953125,0.014309585562683219
1024.0000000000,2.8934860229492188,0.010118958521737415
1448.1546878700,2.906818389892578,0.007170361276217056
2048.0000000000,2.901020050048828,0.00506554755966908
2896.3093757401,2.9008102416992188,0.0035817636306218316
4096.0000000000,2.9001355171203613,0.002532417812896105
