sqrtN,estimate,relerr
8.0,4.5,0.14510251301777496
11.313708498984761,5.75,0.09236901114395422
16.0,5.875,0.11611616356012715
22.627416997969522,5.5,0.04487470631160839
32.0,5.78125,0.09830579924799746
45.254833995939045,5.546875,0.05377988846767324
64.0,5.3125,0.009253977687349016
90.50966799187809,5.2578125,0.0011354014947266356
128.0,5.12109375,0.027108849449915765
181.01933598375618,5.19140625,0.013751076215818498
256.0,5.2255859375,0.007257714227021216
362.03867196751236,5.25,0.002619598520737443
512.0,5.244873046875,0.0035936028190570353
724.0773439350247,5.233154296875,0.005819898358073246
1024.0,5.2471923828125,0.003152981826960077
1448.1546878700494,5.26025390625,0.0006715899240982583
2048.0,5.2666778564453125,0.0005488142711176596
2896.309375740099,5.265251159667969,0.00027777438453170157
4096.0,5.261838912963867,0.00037047475597936643
