sqrtN,estimate,relerr
181.01933598375618,5.53125,0.05081149441565162
316.22776601683796,4.884480000000001,0.07206007173001348
498.8306325798367,5.382716049382714,0.022593427501371725
1024.0,5.3115234375,0.009068453059097665
1788.8543819998317,5.303680000000002,0.007578378612864183
2821.812183686221,5.281635802469134,0.0033904832636023376
4148.538055749278,5.291009698339976,0.00517130993542801
5792.618751480198,5.279754638671875,0.0030331049962959056
7776.0,5.272705718979151,0.0016939708337960838
10119.288512538815,5.273640000000001,0.0018714629442094103
