sqrtN,estimate,relerr
8.0,4.5,0.14510251301777496
11.313708498984761,4.5,0.14510251301777496
16.0,5.0,0.05011390335308328
22.627416997969522,5.5,0.04487470631160839
32.0,5.5,0.04487470631160839
45.254833995939045,5.375,0.021127553895435476
64.0,5.28125,0.0033171895833057864
90.50966799187809,5.26171875,0.00039330298172123186
128.0,5.248046875,0.002990647777240145
181.01933598375618,5.2470703125,0.0031761724054914955
256.0,5.27490234375,0.002111279499672006
362.03867196751236,5.267822265625,0.0007662259448497114
512.0,5.2625732421875,0.00023096893200129983
724.0773439350247,5.260009765625,0.0007179710811610959
1024.0,5.264984130859375,0.00022704499399422276
1448.1546878700494,5.2637481689453125,7.759613636393238e-06
2048.0,5.264396667480469,0.00011544033481176949
2896.309375740099,5.2645416259765625,0.00014297914681782938
4096.0,5.264095306396484,5.818859406232916e-05
